name,description,owner
Adrenaline,"You've been through a lot, but when the Exit Gates are powered, you are overcome with a rush of Adrenaline. You instantly heal one Health State and break into a sprint at 150% of your normal Running Movement speed for 5 seconds. Causes the Exhausted Status Effect for 60/50/40 seconds. This perk is on cooldown while Exhausted.",Meg Thomas
Lithe,"After performing a rushed vault, break into a sprint at 150% of your normal Running Movement speed for 3 seconds. Causes the Exhausted Status Effect for 60/50/40 seconds. This perk is on cooldown while Exhausted.",Feng Min
Dead Hard,"When Injured, activate Dead Hard to become invulnerable for 0.5 seconds and dash forward. Causes the Exhausted Status Effect for 60/50/40 seconds. This perk is on cooldown while Exhausted.",David King
Sprint Burst,"When starting to run, break into a sprint at 150% of your normal Running Movement speed for 3 seconds. Causes the Exhausted Status Effect for 60/50/40 seconds. This perk is on cooldown while Exhausted.",Meg Thomas
Urban Evasion,"Years of evading people that were after you have made you a natural. Increases your Crouching Movement speed by 90/95/100% of your normal Crouching Movement speed.",Nea Karlsson
Self-Care,"You have developed the skill to treat yourself. Grants the ability to self-heal without a Med-Kit at 50% of the normal Healing speed. Increases the efficiency of Med-Kit self-healing by 10/15/20%.",Claudette Morel
Borrowed Time,"When unhooking a Survivor within the Killer's Terror Radius, the Unhooked Survivor benefits from the Endurance Status Effect for 6/8/10 seconds. The duration of the Endurance Effect is doubled when the Exit Gates are powered.",Bill Overbeck
Decisive Strike,"After being Unhooked or Unhooking yourself, Decisive Strike activates for 40/50/60 seconds. While active, succeed in a Skill Check when grabbed by the Killer to stun them for 5 seconds and escape their grasp.",Laurie Strode
Spine Chill,"You have a preternatural ability to sense danger. A distant stare sets your teeth on edge. Your Terror Radius detection range is increased by 12 metres. Increases your Vaulting speed by 2/4/6% when the Killer is looking in your direction within 36 metres.",base
Resilience,"You are motivated in dire situations. While in the Injured State, gain a 3/6/9% speed bonus to all actions that can be interrupted.",base
We'll Make It,"The sight of a crying friend in need fills you with the energy to save them. After unhooking a Survivor, gain a 100% speed bonus to Healing for 60/90/120 seconds.",base
Kindred,"When you are on the Hook, all Survivors' Auras are revealed to each other. If the Killer is within 8/12/16 metres of your Hook, the Killer's Aura is also revealed to all Survivors.",base
Alert,"Your acute senses are on high alert. When the Killer breaks a Pallet or Breakable Wall, or damages a Generator, their Aura is revealed to you for 4/5/6 seconds.",base
Balanced Landing,"Whenever you fall from a great height, your movement is not hindered. Reduces the time to stagger after falling by 75%. Decreases Noise Notification distance by 50% for 3 seconds after landing. Causes the Exhausted Status Effect for 60/50/40 seconds. This perk is on cooldown while Exhausted.",Nea Karlsson
Unbreakable,"Once per trial, you can fully recover from the Dying State. Increases your Recovery speed by 25/30/35%.",Bill Overbeck
No Mither,"The will to fight is all you have. You start the trial in the Injured State. Your grunts of pain are completely suppressed. Grants the ability to self-recover from the Dying State. The Recovery speed bonus is 20/25/30%. You can fully recover from the Dying State.",David King
Deliverance,"After unhooking a Survivor, gain the ability to unhook yourself. The self-unhook has a 50% chance of success. If it fails, a random skill check will trigger. Causes the Broken Status Effect for 100/80/60 seconds after unhooking yourself.",Adam Francis
Flip-Flop,"While in the Dying State, converts up to 40/45/50% of Dying State recovery progression into Hook escape progression after being picked up by the Killer.",Ash Williams
Overcome,"Overcome the limits of your body to escape a threat. When Injured, at the cost of Bleeding and leaving Scratch Marks, break into a sprint at 150% of your normal Running Movement speed for 5 seconds. Causes the Exhausted Status Effect for 60/50/40 seconds.",Victor Surge
Lucky Break,"While Injured, Lucky Break activates. Scratch Marks and Bleeding are suppressed for 40/50/60 seconds. The effect ends when you are healed.",Yui Kimura
Poised,"When a Generator is completed, you leave no Scratch Marks for the next 6/8/10 seconds.",Jane Romero
Trail of Torment,"After completing 70% of the repair progress on a Generator, it triggers a loud noise notification on the Entity's side. After fully repairing a Generator, leave scratch marks for 10/8/6 seconds.",Zarina Kassir
Object of Obsession,"Your acute senses allow you to perceive and be perceived by others. Whenever the Killer reads your Aura, their Aura is revealed to you for 3/4/5 seconds. This perk causes a connection between you and the Killer. You are revealed to the Killer for 5/4/3 seconds whenever you look at the Killer in a 45-degree angle.",Laurie Strode
Premonition,"A chill runs down your spine when facing a dangerous direction. You receive a visual warning when looking at the Killer within a range of 12 metres. The warning is given 3/4/5 seconds early.",base
Calm Spirit,"Animals seem to trust you. Suppresses Screaming. The odds of triggering a Loud Noise Notification when entering a Locker are reduced by 70/80/90%.",Jake Park
Iron Will,"Your time on the run has taught you to fight through the pain. Grunts of Pain caused by Injuries are reduced by 50/75/100%.",Jake Park
Fixated,"You have a steady pace and know when your steps are loud. Grants the ability to see your own Scratch Marks. Increases your normal and crouching Movement speed by 5% while not injured.",Nancy Wheeler
Streetwise,"Those who live on the streets have learned tricks to stretch their supplies. Reduces the Depletion rate of Items you and Allies hold by 15/20/25% while within 8 metres of each other.",Nea Karlsson
Saboteur,"Unlocks the Sabotage action on Hook without a Toolbox. The Sabotage action is 10/15/20% faster. Sabotaged Hooks take 20% longer to regenerate.",Jake Park
Breakdown,"When Unhooked or Unhooking yourself, the hook is destroyed. The Killer receives a 6/8/10% penalty to their Movement speed for 3 seconds. Has no effect on Scourge Hooks or the Basement Hooks.",Jeff Johansen
Solidarity,"You fight for those who cannot fight for themselves. When you heal another Survivor without a Med-Kit, a fraction of the healing progress is also applied to your own healing. This perk only activates when you are Injured.",Jane Romero
Babysitter,"You protect those who cannot protect themselves. After unhooking a Survivor, their Scratch Marks and Bleeding do not appear for 4/6/8 seconds. You also leave no Scratch Marks for 4/6/8 seconds.",Steve Harrington
